job,marital,education,housing,loan
blue-collar,married,basic.4y,yes,yes
management,married,university.degree,yes,no
blue-collar,married,basic.6y,yes,no
blue-collar,married,basic.9y,no,no
blue-collar,married,professional.course,yes,no
blue-collar,married,basic.4y,no,no
blue-collar,married,professional.course,no,yes
management,married,university.degree,yes,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,yes,no
blue-collar,divorced,basic.4y,no,no
unemployed,married,high.school,no,no
technician,married,professional.course,yes,no
technician,single,professional.course,yes,no
technician,married,professional.course,no,no
blue-collar,married,professional.course,yes,no
blue-collar,married,basic.4y,yes,no
admin.,married,university.degree,yes,yes
services,married,high.school,yes,no
blue-collar,single,basic.9y,no,yes
blue-collar,married,basic.9y,no,no
admin.,married,professional.course,no,no
management,married,basic.6y,no,no
blue-collar,married,basic.4y,yes,no
admin.,divorced,high.school,no,no
admin.,divorced,university.degree,no,no
unemployed,married,basic.9y,yes,no
admin.,married,high.school,yes,no
technician,married,basic.9y,no,no
self-employed,divorced,basic.4y,no,no
blue-collar,married,basic.4y,no,no
admin.,married,high.school,no,no
blue-collar,married,basic.6y,yes,no
services,married,high.school,yes,no
blue-collar,married,basic.4y,yes,no
blue-collar,married,basic.9y,no,no
blue-collar,married,basic.9y,no,no
services,married,basic.6y,yes,yes
blue-collar,married,professional.course,yes,no
blue-collar,married,basic.9y,yes,no
retired,married,basic.4y,no,yes
blue-collar,married,basic.4y,no,no
technician,married,high.school,yes,no
blue-collar,married,basic.9y,yes,yes
admin.,single,university.degree,no,no
unemployed,married,basic.9y,no,no
management,divorced,high.school,yes,no
blue-collar,married,basic.4y,no,no
blue-collar,married,basic.6y,no,no
technician,married,high.school,yes,no
services,single,high.school,no,no
admin.,married,high.school,yes,yes
technician,divorced,professional.course,yes,no
admin.,single,high.school,no,no
blue-collar,married,basic.4y,no,no
admin.,single,university.degree,yes,no
unemployed,married,basic.9y,no,no
blue-collar,single,basic.6y,yes,no
admin.,married,university.degree,no,yes
admin.,married,high.school,no,no
blue-collar,single,university.degree,no,no
entrepreneur,single,high.school,no,no
blue-collar,married,basic.9y,no,yes
admin.,married,high.school,no,no
blue-collar,married,basic.9y,yes,yes
services,married,basic.4y,no,no
management,married,basic.6y,no,no
admin.,married,university.degree,yes,no
blue-collar,single,basic.6y,no,no
services,single,high.school,yes,yes
self-employed,single,basic.9y,no,no
management,married,university.degree,no,no
self-employed,married,professional.course,no,no
admin.,single,university.degree,no,yes
retired,divorced,university.degree,yes,no
technician,married,basic.9y,no,no
blue-collar,married,basic.4y,no,no
services,married,high.school,yes,no
blue-collar,married,basic.9y,yes,yes
admin.,single,professional.course,no,yes
admin.,single,university.degree,no,no
services,single,high.school,no,no
housemaid,married,basic.4y,no,no
admin.,divorced,university.degree,yes,no
technician,married,professional.course,no,no
admin.,married,university.degree,yes,no
admin.,married,high.school,yes,no
unemployed,married,high.school,no,no
blue-collar,married,basic.6y,yes,no
blue-collar,single,basic.9y,no,no
blue-collar,divorced,basic.6y,yes,yes
retired,married,professional.course,yes,no
admin.,married,high.school,no,no
admin.,single,university.degree,no,no
entrepreneur,divorced,university.degree,no,no
blue-collar,married,basic.4y,no,yes
admin.,married,high.school,no,no
blue-collar,married,basic.9y,yes,no
retired,married,basic.4y,no,no
services,divorced,basic.9y,yes,no
retired,married,professional.course,no,no
management,divorced,university.degree,no,no
entrepreneur,married,basic.9y,yes,no
technician,married,basic.9y,yes,yes
admin.,married,basic.6y,no,no
services,single,high.school,no,no
services,married,high.school,no,no
entrepreneur,married,university.degree,no,no
services,married,high.school,yes,no
blue-collar,married,professional.course,no,no
technician,married,university.degree,no,no
services,married,high.school,no,no
technician,single,basic.6y,no,no
retired,married,university.degree,yes,no
admin.,married,high.school,yes,no
admin.,married,high.school,yes,no
admin.,divorced,high.school,yes,no
admin.,single,basic.9y,no,no
management,married,university.degree,no,yes
blue-collar,married,basic.6y,yes,no
admin.,single,university.degree,yes,no
blue-collar,married,high.school,no,no
technician,divorced,basic.9y,yes,no
admin.,single,high.school,yes,no
management,married,university.degree,yes,no
services,married,basic.9y,yes,no
admin.,married,high.school,yes,no
blue-collar,single,basic.6y,yes,yes
housemaid,married,basic.4y,yes,no
blue-collar,married,basic.4y,no,no
management,married,basic.9y,yes,no
admin.,divorced,high.school,yes,no
management,single,university.degree,yes,no
services,married,basic.6y,yes,no
admin.,married,university.degree,no,no
housemaid,single,university.degree,yes,no
technician,married,professional.course,yes,no
blue-collar,single,basic.9y,no,yes
blue-collar,divorced,basic.9y,yes,no
retired,married,basic.6y,yes,no
retired,married,basic.4y,no,no
technician,married,university.degree,no,no
services,single,high.school,yes,no
blue-collar,single,basic.4y,no,no
admin.,married,university.degree,no,no
self-employed,married,professional.course,no,no
admin.,married,university.degree,no,no
blue-collar,married,basic.9y,yes,no
management,married,university.degree,no,no
entrepreneur,married,university.degree,no,no
technician,divorced,professional.course,yes,no
admin.,married,high.school,no,yes
blue-collar,married,basic.4y,yes,no
entrepreneur,single,basic.6y,yes,yes
self-employed,married,university.degree,no,no
admin.,married,university.degree,yes,no
services,married,high.school,no,no
admin.,divorced,high.school,yes,yes
self-employed,divorced,professional.course,no,no
blue-collar,single,professional.course,no,no
technician,married,professional.course,no,yes
blue-collar,married,basic.9y,no,no
admin.,married,university.degree,no,no
housemaid,married,university.degree,yes,no
blue-collar,married,basic.6y,yes,no
admin.,married,university.degree,yes,no
blue-collar,married,basic.9y,yes,no
admin.,married,high.school,yes,no
services,divorced,high.school,no,no
admin.,married,professional.course,no,no
entrepreneur,single,university.degree,no,no
admin.,married,basic.9y,no,no
blue-collar,single,high.school,no,no
self-employed,single,university.degree,no,no
unemployed,married,high.school,yes,no
blue-collar,single,basic.9y,no,no
self-employed,single,basic.9y,yes,no
services,married,high.school,no,no
blue-collar,divorced,basic.4y,yes,no
blue-collar,married,basic.6y,yes,no
admin.,married,basic.9y,no,yes
entrepreneur,married,professional.course,no,no
housemaid,married,basic.4y,yes,no
technician,single,professional.course,no,yes
management,married,high.school,no,no
services,married,basic.6y,no,no
retired,divorced,basic.4y,yes,no
technician,married,university.degree,no,no
blue-collar,single,basic.9y,no,no
admin.,married,university.degree,yes,no
technician,married,high.school,no,no
blue-collar,married,basic.4y,yes,no
entrepreneur,married,professional.course,yes,no
management,married,high.school,no,no
blue-collar,married,basic.4y,yes,no
technician,married,university.degree,yes,no
blue-collar,married,basic.9y,no,no
admin.,divorced,university.degree,yes,no
blue-collar,married,basic.4y,yes,no
admin.,married,high.school,no,no
management,single,university.degree,no,no
admin.,divorced,high.school,no,no
entrepreneur,married,professional.course,yes,no
admin.,single,university.degree,yes,no
management,married,university.degree,yes,no
retired,single,high.school,no,no
services,divorced,basic.9y,yes,no
admin.,married,university.degree,yes,no
self-employed,married,professional.course,no,yes
management,single,high.school,yes,yes
retired,single,basic.4y,yes,yes
admin.,divorced,university.degree,yes,no
admin.,single,high.school,no,no
entrepreneur,married,university.degree,no,no
unemployed,single,high.school,no,no
technician,married,professional.course,no,no
entrepreneur,single,basic.6y,yes,no
retired,divorced,basic.4y,no,yes
services,single,high.school,no,no
services,single,high.school,no,no
unemployed,divorced,basic.9y,no,no
services,single,high.school,yes,no
services,married,high.school,no,no
admin.,single,high.school,yes,yes
retired,married,professional.course,no,no
services,married,high.school,yes,no
entrepreneur,married,basic.9y,yes,no
admin.,divorced,university.degree,no,no
retired,married,high.school,yes,no
blue-collar,married,basic.4y,yes,yes
management,married,university.degree,no,no
admin.,married,basic.9y,no,yes
admin.,married,university.degree,no,no
technician,single,professional.course,no,no
unemployed,married,high.school,yes,no
blue-collar,married,basic.9y,no,yes
management,married,university.degree,no,no
management,married,university.degree,no,no
blue-collar,married,basic.4y,yes,no
retired,divorced,professional.course,yes,no
blue-collar,married,basic.9y,yes,no
blue-collar,single,basic.4y,yes,no
management,single,basic.9y,yes,no
admin.,divorced,high.school,no,yes
blue-collar,married,basic.9y,no,no
technician,single,professional.course,yes,no
housemaid,married,basic.4y,yes,no
blue-collar,single,basic.9y,yes,no
self-employed,divorced,university.degree,yes,no
admin.,married,high.school,yes,no
blue-collar,married,basic.9y,yes,no
technician,divorced,basic.9y,no,no
retired,married,basic.9y,no,no
admin.,married,university.degree,yes,yes
services,single,high.school,yes,no
blue-collar,married,basic.9y,no,no
student,single,high.school,no,no
services,married,high.school,no,no
services,married,high.school,no,no
admin.,married,university.degree,yes,no
management,married,university.degree,yes,no
entrepreneur,married,basic.4y,no,no
blue-collar,single,high.school,yes,yes
blue-collar,married,basic.4y,yes,no
admin.,single,basic.9y,yes,yes
entrepreneur,single,university.degree,yes,no
retired,married,basic.6y,yes,yes
self-employed,married,professional.course,yes,yes
admin.,married,university.degree,no,no
services,married,basic.9y,yes,no
entrepreneur,married,basic.4y,yes,no
entrepreneur,married,university.degree,yes,no
admin.,married,high.school,yes,no
admin.,single,university.degree,yes,no
blue-collar,married,basic.4y,yes,no
entrepreneur,married,university.degree,no,no
technician,single,professional.course,no,no
admin.,divorced,high.school,no,no
self-employed,single,university.degree,yes,no
technician,single,high.school,yes,no
admin.,married,university.degree,no,no
technician,married,professional.course,yes,no
blue-collar,married,basic.4y,yes,yes
services,married,high.school,yes,no
blue-collar,divorced,basic.4y,yes,no
admin.,married,high.school,no,no
blue-collar,married,basic.9y,no,no
self-employed,single,basic.9y,yes,yes
self-employed,married,professional.course,yes,no
admin.,married,high.school,yes,no
admin.,married,high.school,yes,no
